yearmonth,EBP
197907,-0.223953
197908,-0.317488
197909,-0.089456
197910,-0.912158
197911,-0.166222
197912,0.127869
198001,-0.102562
198002,-0.584882
198003,0.256076
198004,-0.731175
198005,0.024596
198006,-0.089556
198007,0.09304
198008,-0.041169
198009,-0.073297
198010,-0.297335
198011,0.26447
198012,-0.103086
198101,0.324857
198102,0.103979
198103,-0.035855
198104,0.501343
198105,0.263799
198106,0.424592
198107,0.412094
198108,0.239638
198109,0.396551
198110,0.57229
198111,0.160274
198112,0.545328
198201,0.756894
198202,0.453381
198203,0.908091
198204,0.69748
198205,0.712093
198206,0.642981
198207,0.613466
198208,-0.113349
198209,0.476664
198210,0.125427
198211,0.499413
198212,0.697482
198301,0.328926
198302,0.267022
198303,0.215837
198304,0.119112
198305,-0.081389
198306,0.087245
198307,-0.075867
198308,-0.177673
198309,-0.047112
198310,-0.06537
198311,0.047045
198312,0.129582
198401,0.057239
198402,-0.050522
198403,0.030465
198404,0.147306
198405,-0.285679
198406,-0.006005
198407,-0.120269
198408,0.221358
198409,-0.017891
198410,-0.233755
198411,-0.067831
198412,0.001616
198501,-0.074955
198502,-0.095078
198503,0.138643
198504,-0.029021
198505,-0.194037
198506,0.212439
198507,0.134211
198508,0.146921
198509,0.250984
198510,0.294745
198511,0.29036
198512,0.032192
198601,0.338187
198602,-0.28549
198603,0.58569
198604,0.54437
198605,0.030158
198606,0.022068
198607,0.773264
198608,0.70852
198609,0.314005
198610,0.545463
198611,0.669255
198612,0.699041
198701,0.554116
198702,0.630779
198703,0.518992
198704,-0.384307
198705,0.259175
198706,0.244076
198707,0.484995
198708,0.469987
198709,0.492706
198710,-0.843692
198711,0.264651
198712,0.006715
198801,-0.181428
198802,0.228407
198803,-0.04841
198804,0.001875
198805,0.049413
198806,0.093573
198807,-0.230565
198808,-0.014694
198809,0.146262
198810,0.236986
198811,0.101988
198812,0.23073
198901,0.138146
198902,-0.00409
198903,0.280599
198904,0.50671
198905,0.227865
198906,0.408043
198907,0.641174
198908,0.352247
198909,0.373951
198910,0.274534
198911,0.463822
198912,0.406334
199001,0.121781
199002,0.241804
199003,0.349573
199004,-0.029281
199005,-0.071917
199006,0.035864
199007,0.006528
199008,-0.269673
199009,-0.051052
199010,0.099413
199011,0.258542
199012,0.192606
199101,0.22076
199102,0.139982
199103,0.095124
199104,0.092676
199105,0.106881
199106,0.033201
199107,0.115509
199108,0.074946
199109,0.088652
199110,0.086014
199111,0.095896
199112,0.02729
199201,-0.038977
199202,-0.013052
199203,-0.03771
199204,-0.01459
199205,-0.096207
199206,-0.148848
199207,-0.233425
199208,-0.063198
199209,0.010572
199210,0.000714
199211,0.050682
199212,0.082522
199301,0.03413
199302,-0.011742
199303,0.000532
199304,0.005023
199305,-0.010239
199306,-0.092369
199307,-0.098521
199308,-0.126471
199309,-0.038514
199310,-0.111725
199311,-0.169558
199312,-0.200074
199401,-0.269455
199402,-0.459178
199403,-0.350492
199404,-0.320025
199405,-0.319522
199406,-0.36392
199407,-0.323668
199408,-0.296783
199409,-0.42854
199410,-0.326659
199411,-0.30399
199412,-0.253074
199501,-0.273132
199502,-0.327196
199503,-0.329607
199504,-0.259701
199505,-0.401863
199506,-0.187211
199507,-0.346603
199508,-0.248873
199509,-0.207413
199510,-0.178842
199511,-0.095936
199512,-0.087709
199601,-0.116741
199602,-0.330019
199603,-0.340443
199604,-0.294273
199605,-0.327362
199606,-0.303977
199607,-0.373247
199608,-0.436534
199609,-0.424425
199610,-0.381406
199611,-0.349662
199612,-0.442943
199701,-0.350262
199702,-0.485871
199703,-0.512084
199704,-0.438469
199705,-0.436481
199706,-0.50729
199707,-0.525862
199708,-0.501028
199709,-0.599141
199710,-0.47386
199711,-0.396917
199712,-0.453156
199801,-0.374018
199802,-0.353293
199803,-0.402522
199804,-0.476149
199805,-0.435831
199806,-0.421874
199807,-0.385605
199808,-0.040715
199809,-0.103384
199810,0.000441
199811,0.02907
199812,-0.106692
199901,-0.124938
199902,-0.352341
199903,-0.275318
199904,-0.279516
199905,-0.279658
199906,-0.213867
199907,-0.148228
199908,-0.147479
199909,-0.004159
199910,-0.040454
199911,-0.078502
199912,-0.312901
200001,-0.12087
200002,-0.10413
200003,0.153359
200004,0.329846
200005,0.498835
200006,0.54953
200007,0.607972
200008,0.76418
200009,0.816644
200010,1.252061
200011,1.288705
200012,1.360387
200101,0.9097
200102,0.935115
200103,0.973143
200104,0.772219
200105,0.686657
200106,0.976032
200107,0.563165
200108,0.60858
200109,0.998345
200110,0.865248
200111,-0.427836
200112,0.359763
200201,0.500767
200202,0.71221
200203,0.266711
200204,0.385478
200205,0.414249
200206,0.751762
200207,1.168366
200208,1.19177
200209,1.305279
200210,1.110808
200211,0.784568
200212,0.661981
