"ï..Security.name","Company.name","cusip","Security.id"
"3M COMPANY SNR MR14 5Y $","3M COMPANY ","88579Y101","MMM5$AR"
"ABBOTT LABORATORIES SNR MR14 5Y $","ABBOTT LABORATORIES ","2824100","ABT5$AR"
"AMERICAN EXPRESS CO SNR MR14 5Y $","AMERICAN EXPRESS CO ","25816109","AXP5$AR"
"CAPITAL ONE FINL SNR MR14 5Y $","CAPITAL ONE FINL ","14040H105","COF5$AR"
"COMMERCIAL METALS SNR MR14 5Y $","COMMERCIAL METALS ","201723103","CMC5$AR"
"CONOCOPHILLIPS CO SNR MR14 5Y $","CONOCOPHILLIPS CO ","20825C104","CPH5$AR"
"ENBRIDGE EN PTNS LP SNR MR14 5Y $","ENBRIDGE EN PTNS LP ","29250N105","EEP5$AR"
"3M COMPANY SNR MR14 10Y $","3M COMPANY ","88579Y101","MMMA$AR"
"3M COMPANY SNR MR14 1Y $","3M COMPANY ","88579Y101","MMM1$AR"
"3M COMPANY SNR MR14 20Y $","3M COMPANY ","88579Y101","MMMB$AR"
"3M COMPANY SNR MR14 2Y $","3M COMPANY ","88579Y101","MMM2$AR"
"3M COMPANY SNR MR14 30Y $","3M COMPANY ","88579Y101","MMMC$AR"
"3M COMPANY SNR MR14 3Y $","3M COMPANY ","88579Y101","MMM3$AR"
"3M COMPANY SNR MR14 4Y $","3M COMPANY ","88579Y101","MMM4$AR"
"3M COMPANY SNR MR14 6M $","3M COMPANY ","88579Y101","MMM0$AR"
"3M COMPANY SNR MR14 7Y $","3M COMPANY ","88579Y101","MMM7$AR"
"ABBOTT LABORATORIES SNR MR14 10Y $","ABBOTT LABORATORIES ","2824100","ABTA$AR"
"ABBOTT LABORATORIES SNR MR14 1Y $","ABBOTT LABORATORIES ","2824100","ABT1$AR"
"ABBOTT LABORATORIES SNR MR14 20Y $","ABBOTT LABORATORIES ","2824100","ABTB$AR"
"ABBOTT LABORATORIES SNR MR14 2Y $","ABBOTT LABORATORIES ","2824100","ABT2$AR"
"ABBOTT LABORATORIES SNR MR14 30Y $","ABBOTT LABORATORIES ","2824100","ABTC$AR"
"ABBOTT LABORATORIES SNR MR14 3Y $","ABBOTT LABORATORIES ","2824100","ABT3$AR"
"ABBOTT LABORATORIES SNR MR14 4Y $","ABBOTT LABORATORIES ","2824100","ABT4$AR"
"ABBOTT LABORATORIES SNR MR14 6M $","ABBOTT LABORATORIES ","2824100","ABT0$AR"
"ABBOTT LABORATORIES SNR MR14 7Y $","ABBOTT LABORATORIES ","2824100","ABT7$AR"
"AETNA INC. SNR MR14 10Y $","AETNA INC. ","00817Y108","AETA$AR"
"AETNA INC. SNR MR14 1Y $","AETNA INC. ","00817Y108","AET1$AR"
"AETNA INC. SNR MR14 20Y $","AETNA INC. ","00817Y108","AETB$AR"
"AETNA INC. SNR MR14 2Y $","AETNA INC. ","00817Y108","AET2$AR"
"AETNA INC. SNR MR14 30Y $","AETNA INC. ","00817Y108","AETC$AR"
"AETNA INC. SNR MR14 3Y $","AETNA INC. ","00817Y108","AET3$AR"
"AETNA INC. SNR MR14 4Y $","AETNA INC. ","00817Y108","AET4$AR"
"AETNA INC. SNR MR14 5Y $","AETNA INC. ","00817Y108","AET5$AR"
"AETNA INC. SNR MR14 6M $","AETNA INC. ","00817Y108","AET0$AR"
"AETNA INC. SNR MR14 7Y $","AETNA INC. ","00817Y108","AET7$AR"
"ALLEGHENY TECHS SNR MR14 10Y $","ALLEGHENY TECHS ","01741R102","ATIA$AR"
"ALLEGHENY TECHS SNR MR14 1Y $","ALLEGHENY TECHS ","01741R102","ATI1$AR"
"ALLEGHENY TECHS SNR MR14 20Y $","ALLEGHENY TECHS ","01741R102","ATIB$AR"
"ALLEGHENY TECHS SNR MR14 2Y $","ALLEGHENY TECHS ","01741R102","ATI2$AR"
"ALLEGHENY TECHS SNR MR14 30Y $","ALLEGHENY TECHS ","01741R102","ATIC$AR"
"ALLEGHENY TECHS SNR MR14 3Y $","ALLEGHENY TECHS ","01741R102","ATI3$AR"
"ALLEGHENY TECHS SNR MR14 4Y $","ALLEGHENY TECHS ","01741R102","ATI4$AR"
"ALLEGHENY TECHS SNR MR14 5Y $","ALLEGHENY TECHS ","01741R102","ATI5$AR"
"ALLEGHENY TECHS SNR MR14 6M $","ALLEGHENY TECHS ","01741R102","ATI0$AR"
"ALLEGHENY TECHS SNR MR14 7Y $","ALLEGHENY TECHS ","01741R102","ATI7$AR"
"ALLERGAN, INC. SNR MR14 10Y $","ALLERGAN, INC. ","18490102","AGNA$AR"
"ALLERGAN, INC. SNR MR14 1Y $","ALLERGAN, INC. ","18490102","AGN1$AR"
"ALLERGAN, INC. SNR MR14 20Y $","ALLERGAN, INC. ","18490102","AGNB$AR"
"ALLERGAN, INC. SNR MR14 2Y $","ALLERGAN, INC. ","18490102","AGN2$AR"
"ALLERGAN, INC. SNR MR14 30Y $","ALLERGAN, INC. ","18490102","AGNC$AR"
"ALLERGAN, INC. SNR MR14 3Y $","ALLERGAN, INC. ","18490102","AGN3$AR"
"ALLERGAN, INC. SNR MR14 4Y $","ALLERGAN, INC. ","18490102","AGN4$AR"
"ALLERGAN, INC. SNR MR14 5Y $","ALLERGAN, INC. ","18490102","AGN5$AR"
"ALLERGAN, INC. SNR MR14 6M $","ALLERGAN, INC. ","18490102","AGN0$AR"
