DATE,RnD,Deflator,Deflated RnD,
1947-01-01,2.362,14.194,0.166408342,-0.778824908
1947-04-01,2.393,14.253,0.167894478,-0.774963587
1947-07-01,2.456,14.383,0.170757144,-0.767621118
1947-10-01,2.549,14.58,0.174828532,-0.757387689
1948-01-01,2.652,14.84,0.178706199,-0.747860381
1948-04-01,2.733,15.013,0.18204223,-0.739827853
1948-07-01,2.779,15.108,0.183942282,-0.735318429
1948-10-01,2.769,15.126,0.183062277,-0.73740114
1949-01-01,2.696,14.991,0.179841238,-0.745110716
1949-04-01,2.666,14.943,0.178411296,-0.748577651
1949-07-01,2.688,14.938,0.179943768,-0.744863191
1949-10-01,2.746,14.973,0.183396781,-0.736608292
1950-01-01,2.887,15.049,0.191839989,-0.717060858
1950-04-01,3.022,15.222,0.198528446,-0.702177258
1950-07-01,3.147,15.493,0.203123991,-0.692238778
1950-10-01,3.247,15.861,0.20471597,-0.688848276
1951-01-01,3.301,16.325,0.202205207,-0.694207666
1951-04-01,3.399,16.662,0.203997119,-0.690375966
1951-07-01,3.522,16.875,0.208711111,-0.68045443
1951-10-01,3.699,16.964,0.218049988,-0.661443932
1952-01-01,3.939,16.929,0.232677654,-0.633245324
1952-04-01,4.134,16.928,0.244210775,-0.612235178
1952-07-01,4.361,16.963,0.257088958,-0.589916575
1952-10-01,4.619,17.032,0.271195397,-0.566717686
1953-01-01,4.826,17.124,0.281826676,-0.550017902
1953-04-01,5.02,17.182,0.29216622,-0.534369998
1953-07-01,5.184,17.202,0.301360307,-0.52091395
1953-10-01,5.32,17.183,0.309608334,-0.509187358
1954-01-01,5.447,17.128,0.318017282,-0.497549279
1954-04-01,5.543,17.107,0.324019407,-0.489428977
1954-07-01,5.614,17.124,0.327843962,-0.484332811
1954-10-01,5.714,17.18,0.332596042,-0.478082923
1955-01-01,5.751,17.265,0.333101651,-0.477423215
1955-04-01,6.015,17.366,0.346366463,-0.460464165
1955-07-01,6.386,17.495,0.365018577,-0.437685033
1955-10-01,6.936,17.655,0.392863212,-0.405758637
1956-01-01,7.631,17.852,0.427459108,-0.369105425
1956-04-01,8.238,18.025,0.4570319,-0.340053486
1956-07-01,8.712,18.171,0.47944527,-0.319260962
1956-10-01,9.089,18.287,0.497019741,-0.303626361
1957-01-01,9.282,18.372,0.505225343,-0.296514873
1957-04-01,9.494,18.458,0.514356918,-0.288735414
1957-07-01,9.721,18.546,0.524156152,-0.280539312
1957-10-01,9.918,18.635,0.532224309,-0.273905293
1958-01-01,10.096,18.726,0.539143437,-0.268295677
1958-04-01,10.254,18.816,0.544961735,-0.263633991
1958-07-01,10.53,18.905,0.556995504,-0.254148311
1958-10-01,10.795,18.993,0.568367293,-0.245370922
1959-01-01,11.034,19.077,0.578392829,-0.2377771
1959-04-01,11.299,19.151,0.589995301,-0.229151448
1959-07-01,11.483,19.216,0.597574938,-0.223607625
1959-10-01,11.732,19.272,0.608758821,-0.215554733
1960-01-01,12.163,19.319,0.629587453,-0.200943936
1960-04-01,12.572,19.357,0.649480808,-0.187433678
1960-07-01,12.841,19.384,0.66245357,-0.178844555
1960-10-01,13.061,19.402,0.673178023,-0.171870071
1961-01-01,13.352,19.409,0.687928281,-0.162456836
1961-04-01,13.751,19.421,0.708047989,-0.149937306
1961-07-01,14.115,19.438,0.726154954,-0.138970695
1961-10-01,14.442,19.46,0.742137718,-0.129515495
1962-01-01,14.736,19.487,0.756196439,-0.121365372
1962-04-01,15.143,19.5,0.776564103,-0.109822689
1962-07-01,15.583,19.498,0.799210175,-0.097338995
1962-10-01,16.109,19.482,0.826865825,-0.082564957
1963-01-01,16.748,19.452,0.860991158,-0.065001309
1963-04-01,17.35,19.45,0.892030848,-0.049620127
1963-07-01,17.892,19.475,0.918716303,-0.036818577
1963-10-01,18.329,19.528,0.938600983,-0.027518995
1964-01-01,18.729,19.608,0.955171359,-0.019918709
1964-04-01,19.121,19.654,0.972880839,-0.01194035
1964-07-01,19.458,19.667,0.989373061,-0.004639919
1964-10-01,19.768,19.646,1.006209916,0.002688593
1965-01-01,20.121,19.591,1.027053239,0.011592956
1965-04-01,20.544,19.562,1.050199366,0.021271752
1965-07-01,21.048,19.561,1.076018608,0.031819782
1965-10-01,21.691,19.586,1.107474727,0.044333824
1966-01-01,22.375,19.638,1.139372645,0.056665788
1966-04-01,23.006,19.678,1.169122878,0.067860159
1966-07-01,23.555,19.706,1.195321222,0.07748463
1966-10-01,23.987,19.721,1.216317631,0.085047002
1967-01-01,24.324,19.724,1.233218414,0.091040001
1967-04-01,24.64,19.758,1.247089786,0.095897722
1967-07-01,25.012,19.823,1.261766635,0.100979039
1967-10-01,25.422,19.919,1.276268889,0.105942183
1968-01-01,25.898,20.046,1.291928564,0.111238501
1968-04-01,26.36,20.193,1.305402862,0.115744561
1968-07-01,26.812,20.36,1.316895874,0.119551437
1968-10-01,27.287,20.548,1.327963792,0.123186234
1969-01-01,27.719,20.755,1.335533606,0.125654821
1969-04-01,28.102,20.977,1.33965772,0.126993851
1969-07-01,28.366,21.215,1.337072826,0.126155062
1969-10-01,28.472,21.469,1.326191253,0.122606159
1970-01-01,28.366,21.739,1.304843829,0.115558536
1970-04-01,28.256,22.012,1.283663456,0.108451178
1970-07-01,28.306,22.29,1.269896815,0.103768434
1970-10-01,28.311,22.572,1.254253057,0.098385168
1971-01-01,28.613,22.859,1.251717048,0.097506167
1971-04-01,28.941,23.114,1.252098295,0.097638424
1971-07-01,29.271,23.337,1.254274328,0.098392534
1971-10-01,29.736,23.529,1.263802117,0.101679078
1972-01-01,30.424,23.689,1.284309173,0.108669584
1972-04-01,30.985,23.884,1.297312008,0.113044438
1972-07-01,31.47,24.116,1.304942777,0.115591468
1972-10-01,32.157,24.383,1.318828692,0.120188387
1973-01-01,32.823,24.686,1.329620028,0.123727548
1973-04-01,33.451,25.109,1.332231471,0.124579689
1973-07-01,34.078,25.653,1.328421627,0.123335937
1973-10-01,34.755,26.317,1.320629251,0.120780912
1974-01-01,35.347,27.1,1.304317343,0.115383269
1974-04-01,36.091,27.841,1.296325563,0.112714085
1974-07-01,36.843,28.54,1.290925018,0.110901017
1974-10-01,37.385,29.198,1.280395918,0.107344281
1975-01-01,37.742,29.814,1.265915342,0.102404663
1975-04-01,38.357,30.335,1.264447008,0.101900633
1975-07-01,39.362,30.763,1.279524104,0.107048472
1975-10-01,40.452,31.096,1.300874711,0.114235471
